1,17627
2,14906
3,8562
4,6901
5,6648
6,6335
7,6078
8,5257
9,4979
10,4979
11,4974
12,4691
13,4430
14,4416
15,4155
16,3886
17,3877
18,3622
19,3335
20,3054
21,3047
22,2806
23,2799
24,2777
25,2769
26,2498
27,2497
28,2494
29,2235
30,1677
31,1667
32,1413
33,1405
34,1402
35,1397
36,1143
37,1130
38,1126
39,1125
40,1122
41,896
42,873
43,864
44,853
45,852
46,849
47,848
48,848
49,848
50,586
51,586
52,581
53,576
54,575
55,566
56,347
57,327
58,320
59,315
60,309
61,306
62,300
63,299
64,256
65,45
66,43
67,34
68,33
69,27
70,26
71,24
72,18
73,17
74,14
75,13
76,13
77,13
78,13
79,13
80,13
81,13
82,13
83,12
84,12
85,12
86,12
87,12
88,12
89,12
90,12
91,12
